"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"125",15,0.01,8,0,0.8,3,0.75,2500,0.407338116810845,0.480940617597,0.251289083251207,0.0106026547273923,0.0161493368387495,0.00405972597205037
"126",18,0.01,8,0,0.8,3,1,2500,0.407024458163631,0.481578427471793,0.250889231111184,0.0105880384519322,0.0160623558560952,0.00408121147466003
"127",1,0.01,8,0,0.6,3,0.5,2700,0.407451391298616,0.480615881728036,0.251519559659392,0.0107250033955268,0.0170157696050427,0.00379253102358301
"128",4,0.01,8,0,0.6,3,0.75,2700,0.406979183009848,0.481750250189875,0.250975317095779,0.0107281110023797,0.0170002039115299,0.00380054789779168
"129",7,0.01,8,0,0.6,3,1,2700,0.406594126037861,0.48255944515322,0.250549578818265,0.0107720915367656,0.0171025368331001,0.00383174186781718
"130",10,0.01,8,0,0.8,3,0.5,2700,0.40860851980382,0.477860231346277,0.252607343018103,0.0106889163902048,0.0169384030368293,0.00382228580312102
"131",13,0.01,8,0,0.8,3,0.75,2700,0.408002549687736,0.479308676322804,0.251929136734825,0.0106839854191525,0.0169896023905453,0.00378553563920707
"132",16,0.01,8,0,0.8,3,1,2700,0.407563198077509,0.480219065811066,0.251368950029579,0.0107406960926626,0.0170637213134279,0.00379090849436105
"133",2,0.01,8,0,0.6,3,0.5,2900,0.407935596365753,0.479494454024113,0.251977440160552,0.0107284458344658,0.0170213283614347,0.0037965755965561
"134",5,0.01,8,0,0.6,3,0.75,2900,0.407418427534873,0.480725986505713,0.251386991702072,0.0107288009715187,0.0170043004167317,0.00380256765238846
"135",8,0.01,8,0,0.6,3,1,2900,0.406882842171143,0.481877874025387,0.250819537824694,0.0107772411429908,0.0171088609466908,0.00383378429266094
"136",11,0.01,8,0,0.8,3,0.5,2900,0.409222998686843,0.47644522670838,0.253184633154781,0.0106714043931657,0.0169179484212915,0.00380853189464471
"137",14,0.01,8,0,0.8,3,0.75,2900,0.408530602838895,0.478086499992574,0.25242144114255,0.0106779136436751,0.0169980883021862,0.00378676705913317
"138",17,0.01,8,0,0.8,3,1,2900,0.407941742850554,0.479331138218386,0.251713590463711,0.0107255098894228,0.0170454026868095,0.00378075239926755
